field_1,Endhaltestelle,Langname,Xkoordinat,Ykoordinat,lon,lat,elevation
1207,TWSJ01,Tegeler Weg/S Jungfernheide,17651000,22618700,17651,22618.7,0
1208,STRM02,Stromstr.,20877200,22476700,20877.2,22476.7,0
1209,QUTZ02,Quitzowstr.,21725400,23176400,21725.4,23176.4,0
1210,UTM05,U Turmstr.,20744400,22184900,20744.4,22184.9,0
1211,TUBS02,Turmstr./Beusselstr.,19940300,22294100,19940.3,22294.1,0
1212,RCHL01,Reuchlinstr.,19502600,22368100,19502.6,22368.1,0
1213,UMDP03,U Mierendorffplatz,18261400,22123100,18261.4,22123.1,0
1214,RCHL02,Reuchlinstr.,19581000,22343900,19581,22343.9,0
1215,TUBS03,Turmstr./Beusselstr.,19845900,22255900,19845.9,22255.9,0
1216,URDF02,U Reinickendorfer Str./Fennstr.,22642500,23857100,22642.5,23857.1,0
1217,WIES02,Wiesenstr.,22921500,24505600,22921.5,24505.6,0
1218,BRUP02,Brunnenplatz,23148600,24734800,23148.6,24734.8,0
1219,AMNH02,Am Nordhafen,22225800,23546500,22225.8,23546.5,0
1220,HVLB02,Havelberger Str.,21153800,22695900,21153.8,22695.9,0
1221,MHLS01,Mühlenstr.,25081500,26514000,25081.5,26514,0
1222,MHLS02,Mühlenstr.,25188700,26516500,25188.7,26516.5,0
1223,PRAD01,Pradelstr.,24388100,26531100,24388.1,26531.1,0
1224,HADL01,Hadlichstr.,25801100,26989600,25801.1,26989.6,0
1225,HADL04,Hadlichstr.,25776800,27017400,25776.8,27017.4,0
1226,HADL05,Hadlichstr.,25644800,26883000,25644.8,26883,0
1227,GAIL01,Gaillardstr.,24522400,26559100,24522.4,26559.1,0
1228,GSCH01,Görschstr.,24804100,26533700,24804.1,26533.7,0
1229,SUPA06,S+U Pankow,25476400,26705700,25476.4,26705.7,0
1230,GSCH02,Görschstr.,24715500,26547200,24715.5,26547.2,0
1231,SUPA07,S+U Pankow,25452800,26704000,25452.8,26704,0
1232,URDF01B,U Reinickendorfer Str./Fennstr.,22588400,23841600,22588.4,23841.6,0
1233,SWOL01B,S Wollankstr.,24242800,26392100,24242.8,26392.1,0
1234,SUJH01B,S+U Jungfernheide,17890700,22694600,17890.7,22694.6,0
1235,TWSJ01B,Tegeler Weg/S Jungfernheide,17651000,22618700,17651,22618.7,0
1236,UTM05B,U Turmstr.,20744400,22184900,20744.4,22184.9,0
1237,URDF02B,U Reinickendorfer Str./Fennstr.,22642500,23857100,22642.5,23857.1,0
1238,HADL01B,Hadlichstr.,25801100,26989600,25801.1,26989.6,0
1239,BF M E,Betriebshof Müllerstr. Einsetzen,20500200,25994700,20500.2,25994.7,0
1240,BF I E,Betriebshof Indira-Gandhi-Str. Einsetzen,29534700,24204700,29534.7,24204.7,0
1241,BF M A,Betriebshof Müllerstr. Aussetzen,20500200,25994700,20500.2,25994.7,0
1242,BF I A,Betriebshof Indira-Gandhi-Str. Aussetzen,29534700,24204700,29534.7,24204.7,0
1243,UHPU01,U Hermannplatz/Urbanstr.,26325400,17933700,26325.4,17933.7,0
1244,HBF01,S+U Hauptbahnhof,22571900,22216500,22571.9,22216.5,0
1245,HBF10,S+U Hauptbahnhof,22518100,22202300,22518.1,22202.3,0
1246,HBF12,S+U Hauptbahnhof,22579300,22198400,22579.3,22198.4,0
1247,SUBP01,Schulenburgpark,29453700,15514900,29453.7,15514.9,0
1248,ZIEG01,Ziegrastr.,28675700,16165700,28675.7,16165.7,0
1249,WBHS01,Willy-Brandt-Haus,23828000,19284100,23828,19284.1,0
1250,UHAL05,U Hallesches Tor,24095500,19001500,24095.5,19001.5,0
1251,WBHS02,Willy-Brandt-Haus,23806000,19337600,23806,19337.6,0
1252,SAHU02,S Anhalter Bahnhof,23464400,19781700,23464.4,19781.7,0
1253,MIBO01,Michael-Bohnen-Ring,29627200,15295200,29627.2,15295.2,0
